"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"FXYD3+_CKB+_SC","CLC+ Mast cell","GDF15","TGFBR2",0.0522168809624795,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"MTRNR2L12+ASS1+_SC","CLC+ Mast cell","GDF15","TGFBR2",0.0193240077482006,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"RPS10+_RPS17+_SC","CLC+ Mast cell","GDF15","TGFBR2",0.0147353696776766,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"FXYD3+_CKB+_SC","Lymphoid DC","GDF15","TGFBR2",0.0608063642205654,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"MTRNR2L12+ASS1+_SC","Lymphoid DC","GDF15","TGFBR2",0.0226319377879183,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"RPS10+_RPS17+_SC","Lymphoid DC","GDF15","TGFBR2",0.0172716397370733,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"FXYD3+_CKB+_SC","Macrophages","GDF15","TGFBR2",0.0640175349214306,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"MTRNR2L12+ASS1+_SC","Macrophages","GDF15","TGFBR2",0.0238783804805994,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"RPS10+_RPS17+_SC","Macrophages","GDF15","TGFBR2",0.0182283725984921,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"FXYD3+_CKB+_SC","cDC2","GDF15","TGFBR2",0.0492469382922104,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"MTRNR2L12+ASS1+_SC","cDC2","GDF15","TGFBR2",0.0181890113114651,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"RPS10+_RPS17+_SC","cDC2","GDF15","TGFBR2",0.013866076359409,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Megakaryocyte","FXYD3+_CKB+_SC","EGF","EGFR",0.0158027273694106,0,"EGF_EGFR","EGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Megakaryocyte","FXYD3+_CKB+_SC","EGF","EGFR_ERBB2",0.0278506042290426,0,"EGF_EGFR_ERBB2","EGF - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"LYVE1+ Macrophage","FXYD3+_CKB+_SC","HBEGF","EGFR",0.0187911972379306,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"LYVE1+ Macrophage","FXYD3+_CKB+_SC","HBEGF","EGFR_ERBB2",0.0330409715339277,0,"HBEGF_EGFR_ERBB2","HBEGF - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"MTRNR2L12+ASS1+_SC","FXYD3+_CKB+_SC","EREG","EGFR",0.0162208875187808,0,"EREG_EGFR","EREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"RPS10+_RPS17+_SC","FXYD3+_CKB+_SC","EREG","EGFR",0.0135438083578629,0,"EREG_EGFR","EREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
