latent_leiden_0.4,B cells,Endothelial,Epithelial,Mesenchymal,Myeloid,Neuronal,Plasma cells,T cells,MTRNR2L12+ASS1+_SC,RPS10+_RPS17+_SC,FXYD3+_CKB+_SC
0,1,434,0,26948,2233,1350,0,78,0,0,0
1,65,1017,8754,4344,1879,721,7745,1836,0,0,0
2,23,883,10623,2986,3050,127,5127,1386,0,0,0
3,18,326,18447,1444,493,287,519,222,1398,662,25
4,139,6188,172,11998,3193,851,77,447,0,0,0
5,238,739,10826,2885,1484,590,359,936,3304,1311,83
6,10985,491,529,1302,1345,125,696,6910,36,4,2
7,0,39,19426,3,38,1,109,239,0,0,0
8,282,1925,906,5809,2748,1895,3838,1594,47,28,2
9,0,959,11136,1334,3242,1,639,502,0,0,0
10,3,1893,0,10807,2364,1050,0,225,0,0,0
11,0,177,11383,880,271,114,1172,203,62,17,1
12,50,205,23,9232,515,263,26,252,6,3,2
13,1,1,245,1,1681,0,74,1,0,0,0
14,2,6,519,6,22,0,33,11,0,0,0
